STT	Tr¶ lêi	C©u Hái		B	C	D
692	A	Ai lµ ng­êi kh¸m ph¸ ra quang tuyÕn X?	Rontgen	Hezt	Tesla	Henry
693	A	Khu du lÞch biÓn SÇm S¬n thuéc ®Þa phËn tØnh thµnh nµo?	Thanh Hãa	Cµ Mau	Bµ RÞa	B×nh D­¬ng
694	A	Lôc ®Þa lín thø 3 ch©u lôc lµ lôc ®Þa nµo?	Ch©u Phi	Ch©u ¢u	Ch©u ¸	Ch©u Mü
695	A	Kú Thñ cê vua nµo ë ViÖt Nam ®­îc phong lµ ®¹i kiÖn t­íng quèc tÕ?	§µo Thiªn H¶i	Lý An ThuËn	NguyÔn Gia B¶o	TrÇn §¹i Th¾ng
696	A	Trong côm tõ H¸n ViÖt "Danh Lam Th¾ng C¶nh" tõ nµo có nghÜa lµ chïa?	Lam	Danh	Th¾ng	C¶nh
697	A	Ai ph¸t minh ra bãng ®Ìn ®iÖn cã d©y tãc?	Thomas	Noben	Mac	Garile
698	A	Ng­êi thèng nhÊt c¸c bé l¹c M«ng Cæ lµ ai?	Thµnh C¸t T­ H·n	¸i NhØ C¸p TÒ	T­ M·	Ngò Tö T­
699	A	Côm di tÝch ®Òn thê c¸c vua Hïng n»m ë TØnh Thµnh nµo?	Phó Thä	B×nh D­¬ng	An Kh¸nh	Hµ Néi
700	A	§iÓm B¾c cùc cña n­íc ViÖt Nam thuéc tØnh nµo?	Hµ Giang	Kiªn Giang	H¶i Phßng	Cµ Mau
701	A	ë ViÖt Nam, b¶o th­êng ®æ bé vµo ®Êt liÒn theo h­íng nµo?	§«ng	B¾c	Nam	T©y
702	A	§éng c¬ nµo ph¶i cã bé phËn ®¸nh löa?	§éng c¬ x¨ng	§éng c¬ ®iÖn	§éng c¬ nhiÖt	§éng c¬ m¸y
703	A	Tai ng­êi rÊt hiÕm khi cö ®éng ®­îc lµ do kh«ng cã g×?	C¬	X­¬ng	M¸u	§éng M¹ch
704	A	N­íc nµo cã diÖn tÝch lín nhÊt thÕ giíi?	Canada	Trung Quèc	Nga	Mü
705	A	ChÊt nµo kh«ng ®­îc phÐp cã trong thøc ¨n?	Phooc M«n	§¹m	§­êng	X¬
706	A	Ai lµ ng­êi theo Phan §×nh Phïng ®óc sóng chèng Ph¸p?	Cao Th¾ng	Lª Vò CÇu	La V¨n CÇu	TrÇn H­ng §¹o
707	A	§µi t­ëng niÖm NguyÔn V¨n Trçi n»m trªn ®­êng nµo?	Nam Kú Khëi NghÜa	Hai Bµ Tr­ng	L¹c Long Qu©n	Lý Th­êng KiÖt
708	A	Gi¶i bãng ®¸ WorldCup ®Çu tiªn ®­îc tæ chøc vµo n¨m nµo?	1930	1932	1940	1928
709	A	Ngµy nµo lµ ngµy gia ®×nh ViÖt Nam?	28-6	25-6	28-7	25-7
710	A	Chî trung t©m cña thµnh phè Nha Trang lµ chî g×?	Chî §Çm	Chî G¹o	Chî CÇu Muèi	Chî ChiÕu
711	A	Agatha n÷ sÜ ng­êi Anh chuyªn viÕt truyÖn vÒ thÓ lo¹i g×?	Trinh Th¸m	KiÕm HiÖp	T×nh C¶m	Tù Sù
712	A	Quèc gia nµo ë §«ng Nam ¸ kh«ng cïng mói giê víi ViÖt Nam (nhanh h¬n 1 giê)?	Xingapo	Indonesia	Thai Lan	Campuchia
713	A	BiÓn nµo gîi chót h×nh t­îng vÒ chiÕc g­¬ng soi?	§Þa Trung H·i	Th¸i B×nh D­¬ng	§¹i T©y D­¬ng	B¾c B¨ng D­¬ng
714	A	Aljred Nobel - ng­êi s¸ng lËp gi¶i Noben lµ ng­êi n­íc nµo?	Thôy §iÓn	Hµ Lan	Mü	Nga
715	A	Ng«n ng÷ nµo sau ®©y cã nhiÒu ch÷ c¸i nhÊt?	Nga	ViÖt Nam	Mü	Anh
716	A	QuÇn ®¶o FiFi n»m ë Ch©u nµo?	Ch©u §¹i D­¬ng	Ch©u ©u	Ch©u ¸	Ch©u Mü
717	A	N¨m 2003 thµnh phè XanhpªtÐcpua cña Nga kØ niÖm bao nhiªu n¨m thµnh lËp?	300 n¨m	200 n¨m	400 n¨m	250 n¨m
718	A	Trong triÒu ®¹i nhµ TrÇn, viªn t­íng nµo sau ®©y thµnh c«ng trong nghÒ kinh doanh?	TrÇn Kh¸nh D­	Lý An Kh¸nh	TrÇn Nguyªn H·n	TrÇn §¹i La
719	A	ë c¸c loµi vËt cã vó c¸c ®èt x­¬ng cæ ®Òu hiÕm khi v­ît qu¸ con sè mÊy?	7	10	32	15
720	A	§­êng xÝch ®¹o ch¹y qua bao nhiªu quèc gia?	12	13	14	15
721	A	H·ng phim ®Çu tiªn ViÖt Nam thµnh lËp cã tªn g×?	Asia Phim	Sµi Gßn Phim	H·ng Phim Thèng NhÊt	H·ng Phim B«ng Sen
722	A	N÷ diÓn viªn xuÊt s¾c nhÊt gi¶i Oscar 2003 lµ ai?	Nicol Kidman	TriÖu Vy	Ch­¬ng Tö Di	Còng Lîi
723	A	Ca khóc bÊt hñ "Top of the world" tõng ®­îc 1 nhãm nh¹c næi tiÕng tr×nh bµy ®ã lµ nhãm?	Capenter	Westlife	MTV	Take That
724	A	Ngµy 26-03-1931 cã 1 tæ chøc vÒ chÝnh trÞ ®­îc h×nh thµnh gãp phÇn vµo viÖc gi¶i phãng d©n téc ®ã chÝnh lµ?	§oµn thanh niªn	Qu©n ®éi nh©n d©n	HéI sinh viªn	§¶ng céng s¶n
725	A	Tæ chøc ViÖt Nam Thanh Niªn C¸ch M¹ng §ång ChÝ Héi ®­îc thµnh lËp t¹i ®©u?	Qu¶ng Ch©u	Thiªn T©n	ChiÒu Tr©u	Qu¶ng §«ng
726	A	T¹i Seagames 21 n­íc ViÖt Nam giµnh ®­îc bao nhiªu huy ch­¬ng Vµng?	33	71	156	25
727	A	Tõ n¨m 1989 trë l¹i ®©y n­íc ViÖt Nam giµnh ®­îc thµnh tÝch cao nhÊt t¹i Seagames vµo n¨m nµo?	2003	1999	1993	1989
728	A	N­íc ta chÝnh thøc lÊy tªn Céng Hoµ X· Héi Chñ NghÜa ViÖt Nam vµo ngµy th¸ng n¨m nµy?	25-4-1976	27-5-1974	17-2-1977	17-1-1975
729	A	VÞnh H¹ Long ®­îc UNESCO c«ng nhËn lµ kú quan thiªn nhiªn cña thÕ giíi víi h¬n bao nhiªn hßn ®¶o?	300 hßn ®¶o	200 hßn ®¶o	100 hßn ®¶o	400 hßn ®¶o
730	A	DiÖn tÝch ®Êt ®ai ë ViÖt Nam ®­îc xÕp h¹ng bao nhiªu trªn thÕ giíi?	65	85	55	75
731	A	M¸y vi tÝnh vµo giai ®o¹n ®Çu ®­îc dïng cho?	Qu©n sù	§iÖn to¸n	Kinh tÕ	Khoa häc
732	A	Ai lµ ng­êi ph¸t minh ra ®iÖn tho¹i?	Grahambell	Edition	NewTon	Einstrein
733	A	Hßn ®¶o nµo ®­îc xem lµ lín nhÊt thÕ giíi?	Greenland	Scandinavi	Phó Quèc	Madagasca
734	A	Ng­êi ®Çu tiªn th¸m hiÓm vßng quanh tr¸i ®Êt lµ ng­êi n­íc nµo?	Bå §µo Nha	Anh	T©y Ban Nha	§øc
735	A	N­íc nµo ph¸t minh ra giÊy ®Çu tiªn?	Ai CËp	Trung Quèc	Ên §é	Hy L¹p
736	A	WorldCup 1986 ®· ®­îc tæ chøc t¹i Quèc gia nµo?	Mªxic«	Mü	ý	§øc
737	A	Quèc gia nµo cã sè ng­êi chÕt v× dÞch cóm gia cÇm nhiÒu nhÊt thÕ giíi?	Indonesia	Singapore	Malaysia	Th¸i Lan
738	A	Ai lµ vua ph¸ l­íi WorldCup 2006?	Klose	Grosso	Porposky	Henry
739	A	ë Ch©u ¢u, n­íc nµo lµ n­íc x©y dùng v­ên cÊm quèc gia ®Çu tiªn n¨m 1969?	Thôy §iÓn	Ba Lan	§an M¹nh	óc
740	A	V­ên cÊm Quèc Gia Cóc Ph­¬ng ®­îc lËp ra vµo n¨m nµo?	1962	1960	1961	1963
741	A	Cuéc c¸ch m¹ng c«ng nghiÖp lÇn thø 2 diÔn ra ë ®©u?	Anh	Nga	§øc	Mü
742	A	Close to you lµ ca khóc næi tiÕng cña nhãm nh¹c nµo?	Carpenter	Boney M	Modern Talking	Badboyblue
743	A	Trong chiÕn tranh thÕ giíi lÇn thø 2 n­íc §øc ®· ®¸nh n­íc nµo ®Çu tiªn ®Ó më ®Çu cho cuéc x©m l­îc trªn toµn thÕ giíi?	Ba Lan	Nga	Lybia	Thôy §iÓn
744	A	Quü loµi vËt hoang d· thÕ giíi cã tªn lµ?	WWF	IUCN	CCN	UFO
745	A	N­íc nµo phãng thµnh c«ng tµu vò trô cã ng­êi l¸i lªn tr¹m kh«ng gian lÇn thø 3?	Trung Quèc	NhËt B¶n	Singapo	Hµn Quèc
746	A	Xµ phßng lµ hçn hîp cña muèi Natri víi?	AxÝt bÐo	Axit Clohidric	Axit Axetic	Axit Nitric
747	A	§¹o nho trë thµnh hÖ t­ t­ëng chÝnh thèng cña ®¼ng cÊp thèng trÞ vµo thêi nµo?	Thêi Lª	Thêi Lý	Thêi NguyÔn	Thêi TrÇn
748	A	DiÔn viªn n÷ chÝnh trong phim "VÜ tuyÕn 17- ngµy vµ ®ªm"?	NSND Trµ Giang	NSND TuÖ Minh	NSND Thanh Tó	NSND Hoµng Minh
749	A	Th¸p chµm chÞu ¶nh h­ëng cña kiÕn tróc nµo?	Nam Ên	M· Lai	Th¸i Lai	Ch¨m
750	A	B¾t Vî lµ tËp tôc c­íI xin cña d©n téc nµo?	H-M«ng	M­êng	£-§ª	Th¸i
751	A	Quèc hiÖu nhµ n­íc ta lµ "ViÖt Nam" cã tõ thêi NguyÔn ¸nh n¨m?	1804	1802	1803	1805
752	A	Con ë miÒn Nam ra th¨m l¨ng B¸c, ®· thÊy trong s­¬ng hµng tre b¸t ng¸t lµ 2 c©u th¬ trong bµi?	ViÕng L¨ng B¸c	Ra L¨ng B¸c	Th¨m L¨ng B¸c	KÝnh yªu B¸c
753	A	"GÆm 1 khèi c¨m hên trong cñi s¾t, ta n»m dµi tr«ng ngµy th¸ng dÇn" qua lµ c©u th¬ ®­îc viÕt bëi?	ThÕ L÷	TrÇn TÕ X­¬ng	ViÔn Ph­¬ng	ChÝnh H÷u
754	A	B¶n tr­êng ca "§Î ®Êt ®Î n­íc" lµ cña d©n téc nµo?	£-®ª	H-M«ng	Ch¨m	M­êng
755	A	Nèi d©y lµ tËp tôc cña d©n téc?	£-®ª	M­êng	H-M«ng	Ch¨m
756	A	CÇn Giê thuéc ®Þa phËn tØnh nµo?	TP Hå ChÝ Minh	§ång Nai	B×nh D­¬ng	Long An
757	A	Tªn 1 v­ên quèc gia næi tiÕng ë §ång Nai?	C¸t Tiªn	CÇn Giê	B×nh Ch©u	M· §·
758	A	VÞ vua nµo ph¸t hµnh tiÒn giÊy ®Çu tiªn ë n­íc ta?	Hå Qóy Li	Minh M¹ng	TrÇn H­ng §¹o	NguyÔn HuÖ
759	A	Víi nh¹c nÒn du d­¬ng, l·ng m¹n, ca khóc chÝnh trong game Final Fantasy 8 lµ?	Eyes on me	The piper	Fantasy	melody of life
760	A	Tõng vang danh 1 thêi, nhãm nh¹c the Bee Gees gåm mÊy thµnh viªn?	3	1	2	4
761	A	Ngµy 20-11 chÝnh thøc ®­îc chän lµm ngµy "HiÕn ch­¬ng c¸c nhµ gi¸o" t¹i ®©u?	Vac-xa-va (Ba Lan)	Washington (Mü)	Roma (Italia)	Mac-x©y (Ph¸p)
762	A	Sau khi chuyÓn ®i tõ c©u l¹c bé Fiorentina, Gabriel Batistuta gióp c©u l¹c bé nµo dµnh chøc v« ®Þch?	As-Roma	Juve	AC Milan	Inter Milan
763	A	Giai ®o¹n §¹i ViÖt tån t¹i ®­îc bao nhiªn thÕ kû?	5	4	3	6
764	A	Vô nhiÔm ®éc thñy ng©n ë vÞnh Minamata (NhËt) do n­íc th¶i x¶y ra vµo n¨m?	1952	1996	1947	1899
765	A	Trong trËn ý-Hµn Quèc t¹I WorldCup 2002, cÇu thñ nµo ph¶i nhËn chiÕc thÎ vµng cuèi cïng?	Francessco Totti	Perotta	ParkChiSung	AnJungHoang
766	A	HuÊn luyÖn viªn dÉn d¾t ý vµo kú WorldCup 2002 lµ ai?	Trappatoni	Ericsson	Capello	Mourinho
767	A	Trong lÞch sö WorldCup ai ®· ph¸ kû lôc cña déi bom cu¶ Gerd Muller?	Ronaldo	Batistuta	Pavel Nedved	Wayne Rooney
768	A	Vua s­ tö lµ biÖt danh do c¸c fan bãng ®¸ giµnh tÆng cho cÇu thñ nµo?	Batigol	Totti	Montella	Nedved
769	A	Java lµ tªn cña 1 quÇn ®¶o ë ®©u?	Indonesia	Malaysia	Ên §é	Thai Lan
770	A	Wanney Rooney ra s©n trong ®éi tuyÓn Anh vµo n¨m bao nhiªu tuæi?	18	20	19	21
771	A	Nhµ sinh vËt häc ng­êi §øc Ernst haaeckel ®· ®Ò xuÊt thuËt ng÷ "Ecologhi" vµo n¨m nµo?	1869	1870	1871	1872
772	A	C©y l« héi (nha ®am) thuéc hä nµo?	Agaveceae	Fabaceae	Poaceae	Sonneratiaceae
773	A	Ca khóc nµo ®· tõng ®­îc ca sÜ næi tiÕng Lobo tr×nh bµy?	How can't I tell her	Everytime	Last Chrismast	Hello
774	A	Arrol Carter lµ em trai cña 1 thµnh viªn trong nhãm nh¹c nµo?	Backstreet Boy	Nsync	westlife	Five
775	A	T¸c gi¶ cña t¸c phÈm "Bè giµ" lµ ai?	Mario Puzzo	J.K.Rowling	Mac Helen	Margeret Thetcher
776	A	Trong hÖ mÆt trêi, hµnh tinh nµo kh«ng cã mÆt tr¨ng?	Thñy tinh vµ Kim tinh	Méc tinh	Kim tinh	Thñy tinh
777	A	HiÖn t­îng khi mÆt trêi, tr¸i ®Êt vµ mÆt tr¨ng theo thø tù cïng n»m trªn ®­êng th¼ng	NguyÖt thùc	Hoµng h«n	Giao thõa	NhËt thùc
778	A	Ai lµ ng­êi ®Çu tiªn chøng minh tr¸i ®Êt cã d¹ng h×nh cÇu?	Aristotle	Copecnich	Galileo 	Acsimet 
779	A	Hµnh tinh nµo tù quay nhanh ®Õn møc mét ngµy ë ®ã chØ kho¶ng 10 giê ®ång hå?	Thæ tinh vµ Méc tinh	Méc tinh vµ Kim tinh	Thæ tinh vµ Kim tinh	Kim tinh vµ Háa tinh
780	A	Hµnh tinh nµo cã chiÒu quay kh«ng cïng chiÒu víi c¸c hµnh tinh cßn l¹i?	Kim tinh	Tr¸i dÊt	Háa tinh	Thñy tinh
781	A	Nh÷ng hµnh tinh nµo kh«ng cã bÇu khÝ quyÓn?	Thñy tinh	Kim tinh	Méc tinh	Tr¸i ®Êt
782	A	Trong c¸c ®¬n vÞ ®o chiÒu dµi sau, ®¬n vÞ nµo lµ lín nhÊt?	Pasªc	Km	N¨m ¸nh s¸ng	§¬n vÞ thiªn v¨n
783	A	C©u l¹c bé nµo duy nhÊt ch­a tõng v¾ng mÆt ë c¸c cóp ch©u ¢u kÓ tõ khi gi¶i nµy ®­îc khëi tranh (1955)?	Barcelona	Manchester United	Ajax Amsterdam	Juventus
784	A	C©u l¹c bé nµo ®­îc liªn ®oµn bãng ®¸ thÕ giíi (FIFA) chän lµ c©u l¹c bé xuÊt s¾c nhÊt thÕ kû 20?	Real Madrid	Manchester United	Barcelona	Juventus
785	A	Sea Games lÇn ®Çu tiªn ®­îc tæ chøc vµo n¨m nµo?	1959	1955	1963	1969
786	A	ThÎ vµng, thÎ ®á ®­îc sö dông lÇn ®Çu tiªn t¹i WorldCup vµo n¨m nµo?	1970	1955	1959	1982
787	A	Thñ m«n duy nhÊt trong lich sö bãng ®¸ tõng giµnh qu¶ bãng vµng ch©u ¢u lµ ng­êi n­íc nµo?	Nga	Anh	T©y Ban Nha	§øc
788	A	Tõ Sea Games 22 trë ®Õn nay, ®Þa ®iÓm thi ®Êu ph¶i treo bao nhiªu l¸ cê?	14	8	10	18
789	A	Logo cña SEA Games 22 do ai s¸ng t¸c?	NguyÔn TrÝ Long	Bïi NhËt Quang	NguyÓn Th¸i Hïng	NguyÔn Quang Vinh
790	A	Di tÝch cña sinh vËt sèng trong c¸c thêi ®¹i tr­íc ®Ó l¹i trong c¸c líp ®Êt ®¸ ®­îc gäi lµ g×?	Hãa th¹ch	Sinh vËt cæ	Sinh vËt nguyªn thñy	Cæ sinh vËt häc
791	A	Lo¹i h¹t nµo sau ®©y cã kh¶ n¨ng tån t¹i l©u nhÊt?	H¹t hoa sóng	H¹t ng«	H¹t æi	H¹t tiªu
792	A	M¸u chøa bao nhiªu phÇn tr¨m n­íc (%)?	78	30	48	85
793	A	C¬ së vËt chÊt chñ yÕu cña sù sèng lµ g×?	Protein vµ Axit Nucleic	Protein	Axit Nucleic	Carbon hydrat
794	A	C¸c nguyªn tè nµo sau ®©y phæ biÕn nhÊt cña c¬ thÓ sèng?	C. H, O, N.	N, P, K, ca.	C. H, O, N, Cu, Zn.	C. H, O, N, N, P, K, Mg
795	A	§Æc ®iÓm nµo sau ®©y ®· cã ë v­în ng­êi?	BiÓu lé t×nh c¶m vui buån	§«i tay ®· tù do khi di chuyÓn	§øng th¼ng	T­ duy tr×u t­îng phøc t¹p
796	A	Trong c¸c d¹ng v­în ng­êi, d¹ng cã quan hÖ gÇn gòi víi ng­êi nhÊt lµ?	Tinh tinh	V­în	KhØ G«rila	§­êi ­¬i
797	A	Cét sèng h×nh ch÷ S ë ng­êi liªn quan ®Õn ho¹t ®éng nµo sau ®©y?	§i ®øng th¼ng	Ph¸t triÓn tiÕng nãi	Sö dông c«ng cô lao ®éng	T­ duy trõu t­îng
798	A	§Æc ®iÓm nµo sau ®©y ë ng­êi g¾n liÒn víi sù ph¸t triÓn cña tiÕng nãi?	X­¬ng hµm d­íi c»m låi râ	R¨ng nanh kÐm ph¸t triÓn	Tr¸n réng vµ th¼ng	Gê hèc m¾t kh«ng cã
799	A	Trong quang hîp, ¸nh s¸ng mµu g× cã kh¶ n¨ng cung cÊp nhiÒu n¨ng l­îng nhÊt cho c©y?	Xanh, ®á, tÝm	TÊt c¶ ®Òu cho kÕt qu¶ nh­ nhau	Tia hång ngo¹i vµ tia cùc tÝm	Vµng, lôc, da cam
800	A	VÞ thÇn nµo sau ®©y lµ thÇn ¸nh s¸ng, thÇn thi ca, thÇn ©m nh¹c, thÇn tiªn tri trong thÇn tho¹i Hy L¹p?	Apollo	Ares	Hera	Athena
801	A	Khi ë mét m×nh trªn ®¶o hoang, ®éng vËt nµo sau ®©y ®­îc Robinson Crusoe sö dông nhiÒu nhÊt?	Dª	Lîn rõng	Bß s÷a	Cõu
802	A	Ai lµ ng­êi ®Çu tiªn trë thµnh tû phó ®« la Mü nhê viÕt s¸ch?	J. K. Rowling	Oprah Gail Winfrey	Ingvar Kamprad	Carlos Slim Helus
803	A	C¸c bµi th¬ "Hµnh lé nan", "TÜnh d¹ t­", "Th¸i liªn khóc" lµ nh÷ng bµi th¬ cña t¸c gi¶ nµo?	Lý B¹ch	Tõ Ng­ng	§ç Phñ	Tr­¬ng H¸n Siªu
804	A	LÇn ®Çu tiªn trong lÞch sö ViÖt Nam, t¸c phÈm nµo ®· thay thÕ lèi kÕt cÊu ch­¬ng håi b»ng kÕt cÊu theo quy lËt t©m lý?	Tè t©m	Sè ®á	BØ vá	TÊt c¶ ®Òu sai
805	A	T¸c phÈm nµo sau ®©y lªn ¸n chÕ ®é n« lÖ ë Mü vµo thÕ kû 19?	Tóp lÒu b¸c Tom	Nhµ tµi chÝnh	ChiÕc l¸ cuèi cïng	Cuèn theo chiÒu giã
806	A	T¸c phÈm "ChÝ PhÌo" cña Nam Cao ®­îc ®æi tªn mÊy lÇn?	3	2	4	5
807	A	TruyÒn thuyÕt nµo sau ®©y thuéc thêi kú ¢u L¹c?	An D­¬ng V­¬ng	Th¸nh Giãng	L¹c Long Qu©n - ¢u C¬	S¬n Tinh - Thñy Tinh
808	A	Ng­êi hiÖn th©n cho søc m¹nh vµ vÎ ®Ñp cña ng­êi Hy L¹p trong tr­êng ca "Illiat vµ Odyssey"	Asin (Achilles)	ThÇn Dít (Zeus)	Odixe (Odyssey)	Hecquyn (Hercules)
809	A	Cho tíi n¨m 2003, sè m«n thi ®Êu nhiÒu nhÊt t¹i SEA Games lµ bao nhiªu?	34	24	25	42
810	A	LÇn ®Çu tiªn SEA Games cã 10 quèc gia tham dù ®­îc tæ chøc t¹i ®©u?	Th¸i Lan	Indonesia	ViÖt Nam	Myanmar
811	A	Cho ®Õn n¨m 2001, thø h¹ng cao nhÊt cña ®oµn ViÖt Nam qua c¸c kú SEA Games lµ h¹ng mÊy?	4	2	3	5
812	A	Cho ®Õn n¨m 2007, Th¸i Lan ®· tæ chøc bao nhiªu lÇn §¹i héi SEA Games?	6	3	4	5
813	A	SEA Games 22 ®­îc tæ chøc ë ViÖt Nam cã bao nhiªu m«n thi ®Êu?	32	28	34	38
814	A	CÇu thñ ®­îc mÖnh danh lµ "ChiÕc ch©n tr¸i ma thuËt"?	Rivaldo	Romario	Thierry Henry	Roberto Carlos
815	A	Bãng bµn lµ mét trong nh÷ng m«n thÓ thao phæ biÕn nhÊt trªn thÕ giíi, nã cã nguån gèc tõ n­íc nµo?	Anh	Ph¸p	Trung Quèc	Hy L¹p
816	A	NguyÔn Thóy HiÒn ®· trë thµnh vËn ®éng viªn ViÖt Nam ®Çu tiªn giµnh huy ch­¬ng vµng t¹i mét gi¶i v« ®Þnh thÕ giíi n¨m bao nhiªu tuæi?	14	12	16	18
817	A	Lý TiÓu Long lµ mét diÔn viªn vâ thuËt næi tiÕng trong nÒn ®iÖn ¶nh n­íc nµo?	Mü	Trung Quèc	Anh	Ph¸p
818	A	§µn bÇu xuÊt hiÖn ë ViÖt Nam vµo kho¶ng thêi gian nµo?	ThÕ kû thø 7	ThÕ kû thø 9	ThÕ kû thø 11	ThÕ kû thø 17
819	A	Gi¶i th­ëng "C¸nh diÒu vµng" ®· ®­îc tæ chøc lÇn ®Çu tiªn vµo n¨m nµo?	2002	1998	1996	1994
820	A	Phim ®Çu tiªn cña ng­êi ViÖt?	§ång tiÒn kÏm tËu ®­îc ngùa	Trän t×nh	C¸nh ®ång hoang	C¸nh ®ång ma
821	A	Bèi c¶nh cña phim "Mïi ®u ®ñ xanh" lµ Sµi Gßn thËp niªn 1950, bé phim ®­îc quay ë ®©u?	Paris	ViÖt Nam	Th­îng H¶i	New York
822	A	Siªu sao ®iÖn ¶nh Thµnh Long cña Trung quèc cã hä lµ g×?	TrÇn	Lý	TriÖu	Hå
823	A	§iÒu kiÓn tõ xa ®­îc ph¸t minh vµo n¨m nµo?	1898	1828	1788	1918
824	A	M¸y bay tr­c th¨ng ®­îc ph¸t minh vµo n¨m nµo?	1936	1945	1914	1880
825	A	Nh÷ng ngµy ®Çu thµnh lËp, Nokia - h·ng ®iÖn tho¹i di ®éng lín nhÊt thÕ giíi ngµy nay chuyªn s¶n xuÊt mÆt hµng g×?	GiÊy	Vi m¹ch	§iÖn tho¹i	Cao su
826	A	Th¸p Eiffel ®­îc hoµn tÊt vµo n¨m nµo?	1889	1905	1883	1833
827	A	¤ng lµ ng­êi s¸ng lËp ra h·ng «t« næi tiÕng, tuy nhiªn «ng cßn lµ mét thî söa ®ång hå rÊt giái.	Henry Ford	Toyoda Kiichiro	Soichiro Honda	Chung Ju-Yung
828	A	Tªn d©n gian cña Venus (Sao Kim)	Sao mai hay Sao h«m	Sao khuª	Sao chøc n÷	Sao b¾c ®Èu
829	A	Quü ®¹o chuyÓn ®éng cña c¸c hµnh tinh quanh mÆt trêi lµ ®­êng g×?	Elip	Parapol	Hypecpol	Trßn
830	A	Lß ph¶n øng h¹t nh©n cña n­íc ta ®Çu tiªn n»m ë ®©u?	§µ L¹t	Hµ Néi	CÇn Th¬	§ång Nai
831	A	B¸n kÝnh tr¸i ®Êt lµ bao nhiªu kilomet (Km)?	6.378	63.78	6.378.000	6.873
832	A	§Ëu t­¬ng, l¹c, thuèc l¸ ®­îc trång nhiÒu nhÊt trªn lo¹i ®Êt nµo?	§Êt b¹c mÇu	§Êt phÌn	§Êt phï sa	§Êt x¸m
833	A	NÕu b¹n ®ang ë vÜ ®é 0, kinh ®é 0, b¹n ®ang ë:	§¹i T©y D­¬ng	Greenwich (Anh Quèc)	Ghana (Quèc gia t¹i T©y Phi)	Hawaii (Bang thø 50 cña Mü)
834	A	DiÖn tÝch n­íc ta réng kho¶ng bao nhiªu Km2?	330	300	250	260
835	A	Con s«ng nµo ch¶y qua 10 n­íc ch©u ¢u vµ 3 thñ ®«?	Danube (§a Nuýp)	Volga	Thames	Rheil
836	A	MËt ®é d©n sè thµnh phè nµo ®«ng nhÊt trong nh÷ng thµnh phè sau?	New York	Hµ Néi	Tokyo	Moskva
837	A	Trong c¸c n­íc sau, n­íc nµo cã ®­êng biªn giíi víi n­íc ta lµ dµi nhÊt?	Lµo	Th¸i Lan	Trung Quèc	Campuchia
838	A	Hå n­íc ngät nµo lín nhÊt theo thÓ tÝch vµ s©u nhÊt thÕ giíi?	Hå Baikal	Hå Victoria	Hå Ladoga	Hå Lhagba Pool
839	A	Thµnh phè thñ ®« cña quèc gia nµo n»m ë gÇn cùc b¾c nhÊt?	Iceland (Ai X¬ Len)	Stockholm (Thôy §iÓn)	Moskva (Nga)	Victoria (Cabada)
840	A	§¹i d­¬ng cã diÖn tÝch nhá nhÊt trªn thÕ giíi?	B¾c b¨ng d­¬ng	Th¸i b×nh d­¬ng	§¹i t©y d­¬ng	Ên ®é d­¬ng
841	A	BiÓn néi ®Þa cã diÖn tÝch réng nhÊt?	§Þa trung h¶i	BiÓn Caspi	Th¸i b×nh d­¬ng	BiÓn hång h¶i
842	A	Tªn d·y nói lín nhÊt thÕ giíi?	Himalaya	Andes	Alps	Tr­êng S¬n
843	A	Thµnh phè ®­îc mÖnh danh lµ thµnh phè hoa hång?	Portland (Mü)	Paris (Ph¸p)	Sofia (Bulgaria)	London (Anh)
844	A	Vïng cã tû lÖ ng­êi biÕt ch÷ thÊp nhÊt n­íc ta lµ?	T©y b¾c	§«ng b¾c	T©y nguyªn	B¾c trung bé
845	A	N¬i cã h¶i c¶ng sÇm uÊt nhÊt thÕ giíi, b¹n cho biÕt tªn thµnh phè nµy?	Th­îng H¶i	London	New York	Tr©n Ch©u C¶ng
846	A	Ch©u nµo gÇn nh­ toµn bé c¸c n­íc ®Òu trång lóa?	Ch©u Phi	Ch©u ¸	Ch©u ¢u	Ch©u Mü
847	A	Nói löa ho¹t ®éng lín nhÊt thÕ giíi hiÖn nay n»m ë ®©u?	QuÇn ®¶o Hawaii	Indonesia	NhËt B¶n	Philippines
848	A	Thµnh phè ®«ng d©n nhÊt §«ng Nam ¸?	Jakarta	Thµnh phè Hå ChÝ Minh	Bangkok	Phn«m Pªnh
849	A	Nguån gèc tªn n­íc nµy cã nghÜa lµ "ng«i lµng"?	Canada	§µi Loan	Mexico	Hµn Quèc
850	A	Hå nµo lín nhÊt thÕ giíi?	Caspi	Baikal	Ngò §¹i Hå	Victoria
851	A	Hå n­íc ngät lín nhÊt §«ng Nam ¸?	BiÓn hå Campuchia	Hå Ba BÓ	Hå Thanh H¶i	Hå T©y
852	A	NhiÖt ®é cao nhÊt thÕ giíi ®­îc ghi nhËn ë ®©u?	Sa m¹c Libya	Thung lòng chÕt California	Sa m¹c Sahara	Sa m¹c Gobi (M«ng cæ)
853	A	Sa m¹c nµo lín nhÊt thÕ giíi?	Sa m¹c Sahara	Sa m¹c Gobi (M«ng Cæ)	Great Victoria	Great Sandy
